Iteration	Posterior	Likelihood	Prior	m	obsNodes[1]	obsNodes[2]	obsNodes[3]	obsNodes[4]	obsNodes[5]	obsNodes[6]	obsNodes[7]	obsNodes[8]	obsNodes[9]	obsNodes[10]	p	sd
7800	-101.738	-96.3714	-5.36705	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	8.57809	1.084544
7900	-101.397	-96.3714	-5.02606	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	9.094875	1.084544
8000	-101.284	-96.3714	-4.91263	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	9.647073	1.084544
8100	-101.284	-96.3714	-4.91222	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	9.597109	1.084544
8200	-101.29	-96.3714	-4.9183	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	9.49203	1.084544
8300	-101.285	-96.3714	-4.91391	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	9.547659	1.084544
8400	-101.292	-96.3714	-4.92098	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	9.756926	1.084544
8500	-101.397	-96.3714	-5.02556	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	10.12918	1.084544
8600	-101.314	-96.3714	-4.94278	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	9.881174	1.084544
8700	-101.368	-96.3714	-4.99621	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	10.05736	1.084544
8800	-101.448	-96.3714	-5.07655	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	10.23454	1.084544
8900	-101.593	-96.3714	-5.22198	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	10.46638	1.084544
9000	-101.38	-96.3714	-5.00838	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	10.08847	1.084544
9100	-101.618	-96.3714	-5.24687	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	10.5	1.084544
9200	-101.303	-96.3714	-4.93195	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	9.828584	1.084544
9300	-101.371	-96.3714	-4.99963	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	10.06632	1.084544
9400	-101.803	-96.3714	-5.43191	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	10.71839	1.084544
9500	-101.643	-96.3714	-5.27136	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	10.53189	1.084544
9600	-101.582	-96.3714	-5.21079	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	10.45082	1.084544
9700	-101.801	-96.3714	-5.42933	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	10.71564	1.084544
9800	-101.608	-96.3714	-5.23639	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	10.486	1.084544
9900	-101.584	-96.3714	-5.2124	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	10.45308	1.084544
10000	-101.594	-96.3714	-5.2227	9.612599	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	10.46736	1.084544
