Iteration	Posterior	Likelihood	Prior	m	obs[1]	obs[2]	obs[3]	obs[4]	obs[5]	obs[6]	obs[7]	obs[8]	obs[9]	obs[10]	sd
17800	-46.4725	-44.863	-1.60944	4.930735	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9971615
17900	-46.9762	-45.3668	-1.60944	4.907087	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9926817
18000	-46.7609	-45.1515	-1.60944	4.898134	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9975079
18100	-50.4187	-48.8093	-1.60944	4.700032	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9750775
18200	-48.1088	-46.4994	-1.60944	4.756745	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9993475
18300	-47.3623	-45.7529	-1.60944	4.82778	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9991424
18400	-49.0449	-47.4355	-1.60944	4.752371	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9859462
18500	-48.1705	-46.5611	-1.60944	4.944639	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9687657
18600	-46.8252	-45.2157	-1.60944	4.928809	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9917784
18700	-46.6331	-45.0237	-1.60944	4.905233	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9984683
18800	-48.1477	-46.5383	-1.60944	4.987343	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9630603
18900	-47.9771	-46.3677	-1.60944	4.985036	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9659021
19000	-49.4798	-47.8704	-1.60944	4.984327	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9445018
19100	-46.7937	-45.1843	-1.60944	4.970102	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9861694
19200	-46.7865	-45.177	-1.60944	4.932215	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.991882
19300	-47.3303	-45.7208	-1.60944	4.932388	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9833002
19400	-47.1891	-45.5797	-1.60944	4.887181	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9923921
19500	-48.2079	-46.5985	-1.60944	4.88368	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9772799
19600	-47.2694	-45.6599	-1.60944	4.936123	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9836906
19700	-48.8331	-47.2237	-1.60944	4.75966	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9878614
19800	-46.2883	-44.6789	-1.60944	4.992963	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9909736
19900	-47.3666	-45.7572	-1.60944	4.966949	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9776853
20000	-46.2341	-44.6247	-1.60944	4.944446	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.998979
20100	-46.5267	-44.9172	-1.60944	4.911921	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9991604
20200	-46.9459	-45.3365	-1.60944	4.915034	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9919472
20300	-46.4236	-44.8141	-1.60944	4.96974	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9921434
20400	-46.0828	-44.4734	-1.60944	4.982762	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.995796
20500	-46.9409	-45.3315	-1.60944	4.878584	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9976828
20600	-45.9442	-44.3348	-1.60944	4.995525	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9962336
20700	-52.9543	-51.3448	-1.60944	4.687117	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9437262
20800	-46.5593	-44.9498	-1.60944	4.949447	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9929467
