Iteration	Posterior	Likelihood	Prior	m	obs[1]	obs[2]	obs[3]	obs[4]	obs[5]	obs[6]	obs[7]	obs[8]	obs[9]	obs[10]	sd
11400	-48.5202	-46.9107	-1.60944	4.853595	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9772797
11500	-47.7016	-46.0922	-1.60944	4.915333	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9801356
11600	-45.9982	-44.3888	-1.60944	4.998906	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9948589
11700	-46.2928	-44.6834	-1.60944	4.9329	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9997638
11800	-46.3659	-44.7564	-1.60944	4.940347	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9974419
11900	-48.2891	-46.6797	-1.60944	4.814166	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9870233
12000	-49.5655	-47.956	-1.60944	4.779716	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9738517
12100	-47.4174	-45.8079	-1.60944	4.860943	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9929304
12200	-49.7862	-48.1768	-1.60944	4.844875	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9604149
12300	-48.5902	-46.9807	-1.60944	4.795756	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9854982
12400	-49.1539	-47.5445	-1.60944	4.693326	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.994481
12500	-47.5182	-45.9088	-1.60944	4.839749	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9947436
12600	-48.4134	-46.804	-1.60944	4.829373	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9827003
12700	-46.7043	-45.0949	-1.60944	4.99381	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9841885
12800	-47.2941	-45.6847	-1.60944	4.872452	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9930457
12900	-48.7044	-47.095	-1.60944	4.728468	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9951026
13000	-47.1663	-45.5569	-1.60944	4.858392	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9972975
13100	-47.8132	-46.2037	-1.60944	4.92301	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9772916
13200	-50.5236	-48.9142	-1.60944	4.654425	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9815087
13300	-46.0035	-44.3941	-1.60944	4.964813	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9997366
13400	-46.6941	-45.0846	-1.60944	4.926179	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.994274
13500	-48.6779	-47.0684	-1.60944	4.916104	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9654832
13600	-46.3165	-44.7071	-1.60944	4.970772	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9937274
13700	-47.3148	-45.7053	-1.60944	4.981619	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9763896
13800	-47.3469	-45.7375	-1.60944	4.997648	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9736452
13900	-46.8132	-45.2038	-1.60944	4.943527	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9897631
14000	-47.3018	-45.6924	-1.60944	4.910439	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.987044
14100	-47.4747	-45.8653	-1.60944	4.932313	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9810795
14200	-48.7647	-47.1553	-1.60944	4.745024	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9913583
14300	-47.4419	-45.8325	-1.60944	4.855979	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.993336
14400	-47.8269	-46.2175	-1.60944	4.971082	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9701041
14500	-48.3753	-46.7658	-1.60944	4.817746	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9851431
14600	-49.192	-47.5825	-1.60944	4.949264	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9533559
14700	-47.2746	-45.6652	-1.60944	4.920475	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9859492
14800	-46.8063	-45.1969	-1.60944	4.878021	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9999342
14900	-46.4141	-44.8046	-1.60944	4.949582	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9952736
15000	-46.2995	-44.6901	-1.60944	4.9355	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9992594
15100	-46.7987	-45.1893	-1.60944	4.903958	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9959977
15200	-47.7225	-46.1131	-1.60944	4.889467	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9837455
15300	-50.6224	-49.0129	-1.60944	4.82912	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9513679
15400	-47.9032	-46.2938	-1.60944	4.772354	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9998826
15500	-47.0123	-45.4029	-1.60944	4.893693	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9941782
15600	-46.3511	-44.7416	-1.60944	4.932876	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9988137
15700	-47.8159	-46.2064	-1.60944	4.915697	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9783416
15800	-47.0483	-45.4388	-1.60944	4.864122	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9982619
15900	-50.6098	-49.0004	-1.60944	4.586385	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9925328
16000	-47.7859	-46.1765	-1.60944	4.870057	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9857817
16100	-47.5988	-45.9893	-1.60944	4.835829	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9941182
16200	-47.0273	-45.4179	-1.60944	4.907737	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9917715
16300	-47.6742	-46.0647	-1.60944	4.981895	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9708765
16400	-46.2282	-44.6188	-1.60944	4.940147	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9997252
16500	-49.8049	-48.1955	-1.60944	4.645632	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9933587
16600	-46.5382	-44.9288	-1.60944	4.927051	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9966552
16700	-47.8906	-46.2812	-1.60944	4.943772	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9730689
16800	-46.8324	-45.2229	-1.60944	4.948795	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9886773
16900	-48.5645	-46.9551	-1.60944	4.902443	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9691615
17000	-46.2797	-44.6703	-1.60944	4.989096	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9916676
17100	-49.4161	-47.8067	-1.60944	4.937849	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9518303
17200	-46.9348	-45.3254	-1.60944	4.893667	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9954165
17300	-47.2529	-45.6434	-1.60944	4.858198	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9959568
17400	-47.1038	-45.4944	-1.60944	4.984725	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9792091
17500	-47.266	-45.6566	-1.60944	4.872629	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	0.9934596
