Iteration	Posterior	Likelihood	Prior	m	obs[1]	obs[2]	obs[3]	obs[4]	obs[5]	obs[6]	obs[7]	obs[8]	obs[9]	obs[10]	sd
11800	-27.6419	-23.7299	-3.91202	5.654501	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.098745
11900	-28.1106	-24.1986	-3.91202	5.423613	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	1.985766
12000	-28.4113	-24.4993	-3.91202	5.797152	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	1.840821
12100	-28.6268	-24.7148	-3.91202	5.685869	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	1.804529
12200	-27.9648	-24.0527	-3.91202	5.544447	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	1.995946
12300	-27.6414	-23.7294	-3.91202	5.665903	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.096472
12400	-27.984	-24.072	-3.91202	5.777284	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	1.951537
12500	-28.8938	-24.9818	-3.91202	5.900781	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	1.748034
12600	-27.3025	-23.3905	-3.91202	5.681592	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.386704
12700	-27.4391	-23.5271	-3.91202	5.607609	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.244453
12800	-27.2807	-23.3687	-3.91202	5.909239	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.629017
12900	-27.4663	-23.5542	-3.91202	5.783496	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.907305
13000	-27.7093	-23.7973	-3.91202	5.300107	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.980932
13100	-27.8177	-23.9057	-3.91202	5.160399	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.992388
13200	-28.1682	-24.2562	-3.91202	4.790091	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.965125
13300	-28.3171	-24.4051	-3.91202	4.678788	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.979101
13400	-27.8697	-23.9577	-3.91202	5.022723	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.894399
13500	-27.8889	-23.9769	-3.91202	4.955338	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.776089
13600	-27.7753	-23.8633	-3.91202	5.144395	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.330108
13700	-27.5431	-23.6311	-3.91202	5.28547	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.714204
13800	-27.2669	-23.3549	-3.91202	5.845426	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.591343
