Iteration	Posterior	Likelihood	Prior	m	obsNodes[1]	obsNodes[2]	obsNodes[3]	obsNodes[4]	obsNodes[5]	obsNodes[6]	obsNodes[7]	obsNodes[8]	obsNodes[9]	obsNodes[10]	sd	z
70000	-50.2606	-23.2007	-27.0598	13.32759	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.959548	12.27406
71000	-49.8788	-23.0064	-26.8724	13.13901	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	3.0496	12.27406
72000	-49.9629	-23.0398	-26.9232	13.08097	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	3.124869	12.27406
73000	-49.8514	-22.9913	-26.8601	13.11075	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	3.06753	12.27406
74000	-49.2259	-22.7022	-26.5237	13.06276	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.928527	12.27406
75000	-49.3754	-22.7829	-26.5925	13.17185	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.85607	12.27406
76000	-49.016	-22.6014	-26.4146	13.00905	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.917514	12.27406
77000	-49.0547	-22.6332	-26.4214	13.1269	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.804604	12.27406
78000	-49.0032	-22.5962	-26.407	13.01448	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.908838	12.27406
79000	-49.3473	-22.7578	-26.5895	13.06827	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.959171	12.27406
80000	-49.1854	-22.6792	-26.5062	13.01707	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.958916	12.27406
81000	-49.3131	-22.742	-26.571	13.06558	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.95164	12.27406
82000	-49.2542	-22.7143	-26.54	13.05536	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.943985	12.27406
83000	-48.8276	-22.5214	-26.3062	13.05283	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.817632	12.27406
84000	-49.7756	-22.9644	-26.8112	13.184	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.972248	12.27406
85000	-50.2491	-23.1852	-27.0639	13.24356	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	3.057733	12.27406
86000	-50.3926	-23.2606	-27.132	13.33323	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.998912	12.27406
87000	-49.433	-22.8074	-26.6256	13.16189	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.887193	12.27406
88000	-49.7024	-22.936	-26.7664	13.22017	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.905943	12.27406
89000	-49.3432	-22.771	-26.5722	13.18821	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.823936	12.27406
90000	-49.3064	-22.7469	-26.5595	13.13382	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.878742	12.27406
91000	-49.7666	-22.9786	-26.788	13.30722	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.803188	12.27406
92000	-50.1672	-23.1722	-26.995	13.39807	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.806321	12.27406
93000	-50.2568	-23.2154	-27.0414	13.41755	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.80749	12.27406
94000	-49.6582	-22.931	-26.7272	13.30551	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.761407	12.27406
95000	-50.2267	-23.1962	-27.0306	13.38931	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.849249	12.27406
96000	-49.9151	-23.0481	-26.8669	13.33025	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.824039	12.27406
97000	-50.1845	-23.176	-27.0085	13.38075	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.84685	12.27406
98000	-49.4001	-22.7783	-26.6218	13.03171	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	3.007229	12.27406
99000	-49.0793	-22.6404	-26.439	13.09865	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.846108	12.27406
100000	-49.5003	-22.8513	-26.649	13.2524	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.788149	12.27406
101000	-49.2038	-22.7092	-26.4946	13.18814	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.774414	12.27406
102000	-48.5267	-22.3934	-26.1332	13.08985	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.671101	12.27406
103000	-48.2366	-22.262	-25.9747	13.06543	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.600544	12.27406
104000	-47.7278	-22.0421	-25.6856	13.04824	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.414185	12.27406
105000	-48.2924	-22.3083	-25.9841	13.14491	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.466456	12.27406
106000	-48.6076	-22.4565	-26.1512	13.19738	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.498577	12.27406
107000	-48.2316	-22.2692	-25.9624	13.10354	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.531377	12.27406
108000	-48.1465	-22.232	-25.9145	13.09859	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.503092	12.27406
109000	-48.3382	-22.332	-26.0062	13.15773	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.456753	12.27406
110000	-47.7305	-22.0471	-25.6834	13.05776	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.391418	12.27406
111000	-47.4486	-21.9118	-25.5367	13.00325	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.380512	12.27406
112000	-48.2195	-22.2605	-25.9591	13.09017	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.551727	12.27406
113000	-48.133	-22.2209	-25.9121	13.07988	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.534298	12.27406
114000	-48.5713	-22.4333	-26.138	13.17462	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.537193	12.27406
115000	-48.1698	-22.2499	-25.92	13.12242	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.459289	12.27406
116000	-48.098	-22.2202	-25.8778	13.1202	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.425581	12.27406
117000	-47.9161	-22.1127	-25.8034	13.01764	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.554014	12.27406
118000	-48.0446	-22.1886	-25.856	13.09487	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.462552	12.27406
119000	-49.1333	-22.6932	-26.4402	13.25413	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.629639	12.27406
120000	-49.0906	-22.6694	-26.4213	13.23339	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.653397	12.27406
121000	-48.8854	-22.5885	-26.2969	13.24687	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.516843	12.27406
122000	-48.8905	-22.5966	-26.2939	13.2595	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.478143	12.27406
123000	-48.8403	-22.5643	-26.2759	13.23219	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.532967	12.27406
124000	-48.8796	-22.5967	-26.2829	13.26621	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.442528	12.27406
125000	-48.7445	-22.5372	-26.2073	13.24941	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.404067	12.27406
126000	-49.209	-22.7628	-26.4462	13.33182	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.400237	12.27406
127000	-49.1879	-22.754	-26.4338	13.32917	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.391158	12.27406
128000	-48.634	-22.4747	-26.1593	13.21465	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.461785	12.27406
129000	-47.8087	-22.0665	-25.7422	13.01737	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.512564	12.27406
130000	-47.6824	-22.023	-25.6595	13.04594	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.396337	12.27406
131000	-47.5635	-21.9595	-25.604	13.00481	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.431876	12.27406
132000	-47.9278	-22.1258	-25.8021	13.04993	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.503259	12.27406
133000	-48.2564	-22.2986	-25.9578	13.15472	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.416022	12.27406
134000	-49.0885	-22.7036	-26.3849	13.31028	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.405922	12.27406
135000	-49.3205	-22.8048	-26.5157	13.33952	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.478845	12.27406
136000	-48.4388	-22.3837	-26.0551	13.18375	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.437873	12.27406
137000	-48.4423	-22.3996	-26.0428	13.20488	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.348979	12.27406
138000	-47.5409	-21.9795	-25.5614	13.05996	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.247983	12.27406
139000	-47.556	-21.9697	-25.5863	13.03822	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.346385	12.27406
140000	-47.9784	-22.144	-25.8344	13.03719	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.546476	12.27406
141000	-48.1834	-22.2296	-25.9538	13.01885	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.648426	12.27406
142000	-48.3615	-22.3218	-26.0397	13.09148	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.606735	12.27406
143000	-48.4853	-22.3808	-26.1045	13.11593	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.61475	12.27406
144000	-48.066	-22.1764	-25.8895	13.01035	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.619202	12.27406
145000	-47.78	-22.0562	-25.7237	13.02479	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.487499	12.27406
146000	-47.6205	-21.9862	-25.6344	13.01409	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.438697	12.27406
147000	-48.4858	-22.4139	-26.0719	13.20489	13.2159	11.5211	10.9736	14.4862	11.8028	11.1299	13.2178	9.79731	8.32696	12.5672	2.390296	12.27406
