Iteration	Posterior	Likelihood	Prior	m	obsNodes[1]	obsNodes[2]	obsNodes[3]	obsNodes[4]	obsNodes[5]	obsNodes[6]	obsNodes[7]	obsNodes[8]	obsNodes[9]	obsNodes[10]	sd	z
73000	-59.0302	-26.1026	-32.9276	16.03415	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.670611	15.91026
74000	-59.0808	-26.1238	-32.957	16.03659	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.700573	15.91026
75000	-59.0072	-26.0903	-32.9169	16.02129	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.676684	15.91026
76000	-59.2355	-26.191	-33.0444	16.05167	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.775707	15.91026
77000	-59.2562	-26.2109	-33.0453	16.10516	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.702344	15.91026
78000	-58.9957	-26.1022	-32.8935	16.08221	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.546565	15.91026
79000	-58.8227	-26.0189	-32.8038	16.02723	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.526594	15.91026
80000	-58.9502	-26.0832	-32.867	16.07615	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.520392	15.91026
81000	-59.1481	-26.182	-32.9661	16.14654	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.5173	15.91026
82000	-58.9208	-26.0798	-32.841	16.09234	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.440857	15.91026
83000	-58.8824	-26.0474	-32.8351	16.04542	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.535642	15.91026
84000	-59.0513	-26.1404	-32.9109	16.12781	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.471041	15.91026
85000	-58.8065	-26.0188	-32.7877	16.04367	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.469444	15.91026
86000	-58.6445	-25.9461	-32.6985	16.00507	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.413956	15.91026
87000	-58.5298	-25.8836	-32.6461	15.95061	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.449808	15.91026
88000	-58.4166	-25.8243	-32.5923	15.89917	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.468911	15.91026
89000	-58.4215	-25.8279	-32.5936	15.9047	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.461155	15.91026
90000	-58.3764	-25.8168	-32.5596	15.91947	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.382499	15.91026
91000	-58.38	-25.8123	-32.5678	15.9042	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.42598	15.91026
92000	-58.1671	-25.7194	-32.4477	15.85941	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.333522	15.91026
93000	-58.382	-25.8235	-32.5585	15.93008	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.356368	15.91026
94000	-58.5454	-25.9083	-32.6371	15.99277	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.334505	15.91026
95000	-58.6747	-25.9703	-32.7044	16.03239	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.351001	15.91026
96000	-58.6064	-25.9336	-32.6728	16.0049	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.369118	15.91026
97000	-58.5292	-25.9056	-32.6236	15.9948	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.299085	15.91026
98000	-58.1297	-25.702	-32.4277	15.84846	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.324985	15.91026
99000	-57.8204	-25.5575	-32.2629	15.75538	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.254931	15.91026
100000	-57.8954	-25.5686	-32.3268	15.70592	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.428924	15.91026
101000	-57.624	-25.4618	-32.1622	15.68597	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.234807	15.91026
102000	-57.4654	-25.3905	-32.0749	15.6414	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.179244	15.91026
103000	-58.1691	-25.7437	-32.4254	15.89377	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.182225	15.91026
104000	-57.7471	-25.5248	-32.2223	15.73583	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.228159	15.91026
105000	-57.8001	-25.5456	-32.2545	15.74392	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.266067	15.91026
106000	-57.642	-25.4657	-32.1763	15.68087	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.267485	15.91026
107000	-57.5554	-25.4214	-32.134	15.64362	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.271136	15.91026
108000	-57.3457	-25.3062	-32.0394	15.5184	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.327412	15.91026
109000	-57.2049	-25.2292	-31.9758	15.42194	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.359955	15.91026
110000	-57.1181	-25.2027	-31.9154	15.45701	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.250796	15.91026
111000	-57.1736	-25.2333	-31.9404	15.4917	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.236892	15.91026
112000	-56.8859	-25.0885	-31.7974	15.35733	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.222324	15.91026
113000	-56.9678	-25.127	-31.8408	15.38594	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.243369	15.91026
114000	-57.6807	-25.4521	-32.2286	15.56679	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.481719	15.91026
115000	-57.8364	-25.5097	-32.3267	15.51247	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.621361	15.91026
116000	-57.5472	-25.3936	-32.1537	15.54807	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.422597	15.91026
117000	-57.7425	-25.5024	-32.2401	15.68036	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.357883	15.91026
118000	-57.5436	-25.3907	-32.1529	15.54101	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.429243	15.91026
119000	-57.1959	-25.2368	-31.959	15.47365	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.284712	15.91026
120000	-56.9288	-25.1153	-31.8136	15.3974	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.19408	15.91026
121000	-56.7996	-25.0681	-31.7315	15.38923	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.080273	15.91026
122000	-56.8193	-25.0767	-31.7426	15.39516	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.089083	15.91026
123000	-56.834	-25.0711	-31.763	15.36481	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.167641	15.91026
124000	-56.7052	-25.0024	-31.7028	15.28773	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.18074	15.91026
125000	-56.7236	-25.0266	-31.6971	15.34651	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.094975	15.91026
126000	-56.5087	-24.9285	-31.5801	15.26933	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.018979	15.91026
127000	-56.9662	-25.1534	-31.8128	15.46479	15.6553	15.3389	21.1027	11.92	13.2019	13.0272	14.5828	14.2849	9.90463	14.5151	3.079449	15.91026
