Iteration	Posterior	Likelihood	Prior	d	m	obsNodes[1]	obsNodes[2]	obsNodes[3]	obsNodes[4]	obsNodes[5]	obsNodes[6]	obsNodes[7]	obsNodes[8]	obsNodes[9]	obsNodes[10]	obsNodes[11]	obsNodes[12]	obsNodes[13]	obsNodes[14]	obsNodes[15]	obsNodes[16]	obsNodes[17]	obsNodes[18]	obsNodes[19]	obsNodes[20]	obsNodes[21]	obsNodes[22]	obsNodes[23]	obsNodes[24]	obsNodes[25]	obsNodes[26]	obsNodes[27]	obsNodes[28]	obsNodes[29]	obsNodes[30]	obsNodes[31]	obsNodes[32]	obsNodes[33]	obsNodes[34]	obsNodes[35]	obsNodes[36]	obsNodes[37]	obsNodes[38]	obsNodes[39]	obsNodes[40]	obsNodes[41]	obsNodes[42]	obsNodes[43]	obsNodes[44]	obsNodes[45]	obsNodes[46]	obsNodes[47]	obsNodes[48]	obsNodes[49]	obsNodes[50]	s
31000	-1.58827e+07	-1.58827e+07	-12.6638	902.0489	909.4598	18.965	111.561	71.96	63.934	30.722	97.852	214.653	82.795	100.841	24.573	130.634	110.502	122.128	43.934	166.543	34.058	108.336	148.789	77.91	133.045	63.266	98.973	129.174	168.85	113.592	27.422	235.12	157.945	115.196	-35.362	171.983	201.558	62.585	101.096	145.699	165.462	217.656	62.967	114.678	106.865	95.307	160.377	106.113	23.679	124.501	192.146	78.584	121.222	54.538	75.764	8.950955
32000	-1.58827e+07	-1.58827e+07	-12.1747	902.0489	903.6739	18.965	111.561	71.96	63.934	30.722	97.852	214.653	82.795	100.841	24.573	130.634	110.502	122.128	43.934	166.543	34.058	108.336	148.789	77.91	133.045	63.266	98.973	129.174	168.85	113.592	27.422	235.12	157.945	115.196	-35.362	171.983	201.558	62.585	101.096	145.699	165.462	217.656	62.967	114.678	106.865	95.307	160.377	106.113	23.679	124.501	192.146	78.584	121.222	54.538	75.764	7.555329
33000	-1.58827e+07	-1.58827e+07	-12.0278	902.0489	904.3841	18.965	111.561	71.96	63.934	30.722	97.852	214.653	82.795	100.841	24.573	130.634	110.502	122.128	43.934	166.543	34.058	108.336	148.789	77.91	133.045	63.266	98.973	129.174	168.85	113.592	27.422	235.12	157.945	115.196	-35.362	171.983	201.558	62.585	101.096	145.699	165.462	217.656	62.967	114.678	106.865	95.307	160.377	106.113	23.679	124.501	192.146	78.584	121.222	54.538	75.764	6.221828
34000	-1.58827e+07	-1.58827e+07	-12.2327	902.0489	897.8699	18.965	111.561	71.96	63.934	30.722	97.852	214.653	82.795	100.841	24.573	130.634	110.502	122.128	43.934	166.543	34.058	108.336	148.789	77.91	133.045	63.266	98.973	129.174	168.85	113.592	27.422	235.12	157.945	115.196	-35.362	171.983	201.558	62.585	101.096	145.699	165.462	217.656	62.967	114.678	106.865	95.307	160.377	106.113	23.679	124.501	192.146	78.584	121.222	54.538	75.764	2.898829
35000	-1.58827e+07	-1.58827e+07	-11.7191	902.0489	900.4649	18.965	111.561	71.96	63.934	30.722	97.852	214.653	82.795	100.841	24.573	130.634	110.502	122.128	43.934	166.543	34.058	108.336	148.789	77.91	133.045	63.266	98.973	129.174	168.85	113.592	27.422	235.12	157.945	115.196	-35.362	171.983	201.558	62.585	101.096	145.699	165.462	217.656	62.967	114.678	106.865	95.307	160.377	106.113	23.679	124.501	192.146	78.584	121.222	54.538	75.764	4.623396
36000	-1.58827e+07	-1.58827e+07	-12.0896	902.0489	900.8241	18.965	111.561	71.96	63.934	30.722	97.852	214.653	82.795	100.841	24.573	130.634	110.502	122.128	43.934	166.543	34.058	108.336	148.789	77.91	133.045	63.266	98.973	129.174	168.85	113.592	27.422	235.12	157.945	115.196	-35.362	171.983	201.558	62.585	101.096	145.699	165.462	217.656	62.967	114.678	106.865	95.307	160.377	106.113	23.679	124.501	192.146	78.584	121.222	54.538	75.764	6.993641
37000	-1.58827e+07	-1.58827e+07	-11.0761	902.0489	901.9374	18.965	111.561	71.96	63.934	30.722	97.852	214.653	82.795	100.841	24.573	130.634	110.502	122.128	43.934	166.543	34.058	108.336	148.789	77.91	133.045	63.266	98.973	129.174	168.85	113.592	27.422	235.12	157.945	115.196	-35.362	171.983	201.558	62.585	101.096	145.699	165.462	217.656	62.967	114.678	106.865	95.307	160.377	106.113	23.679	124.501	192.146	78.584	121.222	54.538	75.764	2.575046
38000	-1.58827e+07	-1.58827e+07	-11.5444	902.0489	900.6302	18.965	111.561	71.96	63.934	30.722	97.852	214.653	82.795	100.841	24.573	130.634	110.502	122.128	43.934	166.543	34.058	108.336	148.789	77.91	133.045	63.266	98.973	129.174	168.85	113.592	27.422	235.12	157.945	115.196	-35.362	171.983	201.558	62.585	101.096	145.699	165.462	217.656	62.967	114.678	106.865	95.307	160.377	106.113	23.679	124.501	192.146	78.584	121.222	54.538	75.764	3.846016
39000	-1.58827e+07	-1.58827e+07	-11.9306	902.0489	903.2783	18.965	111.561	71.96	63.934	30.722	97.852	214.653	82.795	100.841	24.573	130.634	110.502	122.128	43.934	166.543	34.058	108.336	148.789	77.91	133.045	63.266	98.973	129.174	168.85	113.592	27.422	235.12	157.945	115.196	-35.362	171.983	201.558	62.585	101.096	145.699	165.462	217.656	62.967	114.678	106.865	95.307	160.377	106.113	23.679	124.501	192.146	78.584	121.222	54.538	75.764	5.928614
40000	-1.58827e+07	-1.58827e+07	-8.01533	902.0489	901.9974	18.965	111.561	71.96	63.934	30.722	97.852	214.653	82.795	100.841	24.573	130.634	110.502	122.128	43.934	166.543	34.058	108.336	148.789	77.91	133.045	63.266	98.973	129.174	168.85	113.592	27.422	235.12	157.945	115.196	-35.362	171.983	201.558	62.585	101.096	145.699	165.462	217.656	62.967	114.678	106.865	95.307	160.377	106.113	23.679	124.501	192.146	78.584	121.222	54.538	75.764	0.1077277
